marketBeat;assetId;buyQuote;sellQuote;reportedDate;pollTime;pollDate
3;AAPL;162.88;162.88;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;ABNB;158.39;158.39;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;ADBE;413.95;413.95;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;ADI;158.92;158.92;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;ADSK;191.15;191.15;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;AEP;100.5;100.5;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;ALGN;368.86;368.86;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;AMAT;114.47;114.47;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;AMD;90.69;90.69;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;AMGN;252.17;252.17;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;AMZN;2921.48;2921.48;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;ATVI;78.05;78.05;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;AVGO;587.88;587.88;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;BIDU;116.57;116.57;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;BIIB;214.54;214.54;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;BKNG;2246.04;2246.04;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;CEG;62.27;62.27;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;CMCSA;45.71;45.71;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;COST;568.21;568.21;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;CPRT;118.21;118.21;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;CSCO;51.94;51.94;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;CSX;34.64;34.64;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;CTAS;409.96;409.96;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;CTSH;84.46;84.46;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;DDOG;121.68;121.68;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;DLTR;169.85;169.85;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;DXCM;442.49;442.49;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;EA;128.15;128.15;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;EBAY;53.63;53.63;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;EXC;48.77;48.77;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;FAST;56.95;56.95;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;GILD;62.65;62.65;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;GOOG;2465;2465;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;HON;191.82;191.82;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;ILMN;319.1;319.1;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;INTC;47.06;47.06;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;INTU;446.93;446.93;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;ISRG;255.12;255.12;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;JD;53.72;53.72;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;KDP;37.3;37.3;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;KLAC;331.21;331.21;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;LCID;19.33;19.33;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;LRCX;476.42;476.42;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;LULU;368.09;368.09;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;MAR;182.48;182.48;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;MCHP;68.1;68.1;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;MELI;1041.92;1041.92;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;MRNA;150.41;150.41;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;MRVL;60.69;60.69;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;MSFT;280.72;280.72;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
3;MTCH;82.48;82.48;2022-04-25 17:00:04;1650951477;2022-04-26 02:37:57
